n_observations,noise_sd,missing_probability,interval_pattern,n_fits,observed_n_mean,theta_rmse_naive,theta_rmse_measurement_aware,theta_rmse_improvement,sigma_rmse_naive,sigma_rmse_measurement_aware,sigma_rmse_improvement,theta_boundary_fraction_naive,theta_boundary_fraction_measurement_aware,theta_boundary_reduction,sigma_boundary_fraction_naive,sigma_boundary_fraction_measurement_aware,sigma_boundary_reduction,fit_success_fraction_naive,fit_success_fraction_measurement_aware
10,0.0,0.0,regular,10,10.0,1.591467952209447,1.591467952209447,0.0,0.0676300317116527,0.0676300317116527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,0.0,0.1,irregular,10,9.6,6.119285179699157,6.119285179699157,0.0,0.11004443841958195,0.11004443841958195,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
10,0.0,0.1,regular,10,9.6,1.869450597489007,1.869450597489007,0.0,0.08780499742894077,0.08780499742894077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,0.0,0.3,irregular,10,7.5,8.845588772901216,8.845588772901216,0.0,0.10117457884273119,0.10117457884273119,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0
10,0.0,0.3,regular,10,7.4,6.24394201147925,6.24394201147925,0.0,0.25270557315698067,0.25270557315698067,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
10,0.1,0.0,irregular,10,10.0,7.3454768178629015,7.3090375810123085,0.036439236850593026,0.3001891278722978,0.3099000064190498,-0.009710878546752011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,0.1,0.0,regular,10,10.0,10.301741092418064,10.452259297153757,-0.15051820473569322,0.3548316359347618,0.2618394629079859,0.09299217302677593,0.2,0.1,0.1,0.0,0.0,0.0,1.0,1.0
10,0.1,0.1,irregular,10,8.7,11.966600372830783,8.27488977286951,3.6917105999612723,0.7931259426157632,0.2014796165947292,0.591646326021034,0.3,0.1,0.19999999999999998,0.0,0.0,0.0,1.0,1.0
10,0.1,0.1,regular,10,9.5,1.6809676072650546,1.6180113210428115,0.06295628622224303,0.14541114962228632,0.10452175388065577,0.04088939574163056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,0.1,0.3,irregular,10,7.8,12.438312794567363,10.854956645033377,1.5833561495339854,0.5472967745980462,0.2760715372081054,0.27122523738994075,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0
