generator,difficulty,test_id,selected_model,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1,correct
Nonlinear,Difficult,22,OU+B,-7.317279054981116,-0.6652071868164651,0.5451849002785351,1.0,-0.32739488583184956,
Nonlinear,Difficult,23,OU+T,-11.296598287018456,-1.0269634806380414,0.6774413566002851,0.9090909090909091,-0.3180372435756999,
Nonlinear,Difficult,24,OU+L,-15.038498084561589,-1.367136189505599,0.8745195421275953,0.8181818181818182,-0.6222885887317586,
Nonlinear,Easy,0,OULB,9.3445388778654,0.15838201487907458,0.2671919036596001,0.8983050847457628,-0.2588995385241649,
Nonlinear,Easy,1,OU+L,4.268799810058885,0.07235253915354042,0.2836754375891114,0.9322033898305084,0.013699304202311188,
Nonlinear,Easy,2,OULB,17.235975481599716,0.29213517765423247,0.18897413765960017,0.9491525423728814,-0.39230327150765476,
Nonlinear,Easy,3,OU+B,16.592607130847494,0.2812306293363982,0.19126149988738067,0.9491525423728814,-0.14588959508383648,
Nonlinear,Easy,4,OU+B,22.786923250911208,0.3862190381510374,0.1930232358585725,0.9830508474576272,0.05021947997382457,
Nonlinear,Easy,5,OULB,15.868843977049538,0.26896345723812776,0.1955194611536478,0.9661016949152542,-0.03800558328741457,
Nonlinear,Easy,6,OULB,25.95449287590648,0.4399066589136692,0.18314549957874096,0.9491525423728814,0.2761332199216664,
Nonlinear,Easy,7,OU+T,7.060715106423606,0.11967313739701027,0.2554856841887433,0.9322033898305084,-0.03187846222937681,
Nonlinear,Easy,8,OULB,6.677185668205983,0.1131726384441692,0.22323313868041766,0.9322033898305084,-0.3537756467196148,
Nonlinear,Easy,9,OU,2.74742844934172,0.046566583887147794,0.25322506717670085,0.8813559322033898,0.042270583277294896,
Nonlinear,Easy,10,OULB,20.736420040455947,0.35146474644840586,0.19349368322565652,0.9661016949152542,-0.39432502556437915,
Nonlinear,Easy,11,OULB,7.856152932756718,0.1331551344535037,0.22462987613145427,0.9491525423728814,-0.19419404456485803,
Nonlinear,Easy,12,OULB,19.26116586919754,0.3264604384609753,0.2698368031695345,0.9322033898305084,-0.09834590113229445,
Nonlinear,Easy,13,OU+B,14.154090729926331,0.2398998428801073,0.2053140836775473,0.8983050847457628,-0.35740695590968014,
Nonlinear,Easy,14,OU+B,2.250524975307299,0.03814449110690337,0.2891523833836785,0.8305084745762712,0.10243021164647428,
Nonlinear,Easy,15,OU+B,-4.423900448589497,-0.0749813635354152,0.2654177727302235,0.847457627118644,-0.25738711112495855,
Nonlinear,Easy,16,OULB,-3.9584138547320658,-0.06709176024969603,0.29889280817142444,0.8813559322033898,-0.20435288096912646,
Nonlinear,Easy,17,OU+T,10.412916019604811,0.1764901020272002,0.22730068658749664,0.9152542372881356,-0.18057367002891486,
Nonlinear,Easy,18,OU+B,14.218867295301733,0.24099775076782598,0.2375538545442752,0.9322033898305084,-0.04583256439638287,
Nonlinear,Easy,19,OU+B,25.398671254938485,0.43048595347353363,0.15991605875043796,1.0,-0.13304015489296084,
